Name,Platform,Publisher,Developer,Critic_Score,User_Score,Total_Shipped,Year,Genre,NA_Sales,EU_Sales,JP_Sales,Other_Sales,Global_Sales,Year_as_date
Killzone 2,PS3,Sony Computer Entertainment,Guerrilla Games,9.1,9.3,3.02,2009,Shooter,1.4,1.07,0.08,0.47,3.02,2009-01-01
Crysis,PC,Electronic Arts,Crytek,9.2,8.5,3.0,2007,Shooter,0.0,0.69,0.0,0.03,0.72,2007-01-01
Fable,XB,Microsoft Game Studios,Big Blue Box,8.6,,3.0,2004,Role-Playing,1.99,0.58,0.0,0.09,2.66,2004-01-01
Heavy Rain,PS3,Sony Computer Entertainment,Quantic Dream,8.8,8.6,3.0,2010,Adventure,1.29,1.27,0.06,0.5,3.12,2010-01-01
Kinect Sports,X360,Microsoft Game Studios,Rare Ltd.,7.4,,3.0,2010,Sports,3.92,1.78,0.03,0.51,6.24,2010-01-01
Sonic And The Secret Rings,WII,Sega,Sonic Team,6.7,,3.0,2007,Platform,1.24,1.2,0.04,0.3,2.77,2007-01-01
Sonic Rush,DS,Sega,Dimps Corporation,7.800000000000001,,3.0,2005,Platform,1.22,1.57,0.06,0.29,3.15,2005-01-01
Kirby Super Star Ultra,DS,Nintendo,HAL Laboratory,7.300000000000001,,2.99,2008,Platform,1.57,0.04,1.19,0.15,2.96,2008-01-01
Star Fox,SNES,Nintendo,Argonaut Games,7.86,,2.99,1993,Shooter,1.61,0.51,0.8,0.07,2.99,1993-01-01
The Sims: Livin Large,PC,Electronic Arts,Maxis,7.9,,2.99,2000,Misc,1.67,1.18,0.0,0.13,2.99,2000-01-01
Far Cry 3,X360,Ubisoft,Ubisoft Montreal,9.0,,2.98,2012,Shooter,1.38,1.35,0.02,0.28,3.04,2012-01-01
Mario Vs. Donkey Kong: Mini-Land Mayhem!,DS,Nintendo,Nintendo Software Technology Corporation,7.800000000000001,,2.98,2010,Puzzle,1.63,0.52,0.35,0.18,2.69,2010-01-01
The Legend Of Zelda: Spirit Tracks,DS,Nintendo,Nintendo EAD,8.7,,2.96,2009,Action,1.43,0.94,0.74,0.27,3.38,2009-01-01
Battlefield: Bad Company 2,PS3,Electronic Arts,EA Digital Illusions CE,8.9,8.8,2.96,2010,Shooter,1.33,1.12,0.08,0.45,2.97,2010-01-01
Hitman 2: Silent Assassin,PS2,Eidos Interactive,IO Interactive,8.4,,2.96,2002,Action,1.36,1.15,0.04,0.41,2.96,2002-01-01
Street Fighter Iv,X360,Capcom,Capcom / Dimps Corporation,9.3,9.3,2.95,2009,Fighting,1.82,0.71,0.15,0.26,2.95,2009-01-01
Socom Ii: U.S. Navy Seals,PS2,Sony Computer Entertainment,Zipper Interactive,8.8,,2.94,2003,Shooter,2.22,0.51,0.06,0.15,2.94,2003-01-01
Wwe Smackdown! Vs. Raw 2006,PS2,Thq,Yuke's,8.200000000000001,,2.94,2005,Fighting,1.45,1.11,0.04,0.33,2.94,2005-01-01
Wave Race 64,N64,Nintendo,Nintendo EAD,9.2,,2.94,1996,Racing,1.98,0.58,0.34,0.04,2.94,1996-01-01
Pokemon Ranger,DS,Nintendo,HAL Laboratory,6.6000000000000005,,2.93,2006,Role-Playing,1.29,0.04,0.73,0.12,2.18,2006-01-01
Doom (2016),PS4,Bethesda Softworks,id Software,7.519999999999999,,2.92,2016,Shooter,0.49,0.66,0.02,0.22,1.39,2016-01-01
Mass Effect,X360,Microsoft Game Studios,BioWare Edmonton,9.2,9.1,2.91,2007,Role-Playing,1.83,0.8,0.03,0.27,2.93,2007-01-01
Dragon Ball Z: Budokai 2,PS2,Atari,Dimps Corporation,7.319999999999999,,2.9,2003,Fighting,1.63,0.22,0.51,0.06,2.41,2003-01-01
Sega Superstars Tennis,X360,Sega,Sumo Digital,6.900000000000002,,2.89,2008,Sports,1.75,0.86,0.0,0.28,2.9,2008-01-01
Call Of Duty: Finest Hour,PS2,Activision,Spark Unlimited,8.14,,2.89,2004,Shooter,1.51,1.12,0.01,0.24,2.89,2004-01-01
Imagine: Babyz,DS,Ubisoft,Visual Impact,3.4999999999999996,,2.87,2007,Simulation,1.3,1.27,0.0,0.31,2.88,2007-01-01
Wii Music,WII,Nintendo,Nintendo EAD,5.6000000000000005,,2.86,2008,Misc,1.36,1.13,0.46,0.32,3.27,2008-01-01
